id|isDemo|region|name
010042A010DD0000|1|GB|AeternoBlade II
01004360135AC000|1|US|DREAMO
010043700C102000|1|US|Labyrinth of Refrain: Coven of Dusk
010043D004CF6000|1|US|JUST DANCE® 2018
010043F017802000|1|JP|Winning Post 9 2022
010044200A112000|1|US|Vostok Inc.
010044200BC42000|1|US|Detention
0100450011362000|1|US|Tyd wag vir Niemand
01004510110C4000|1|US|Alder's Blood
0100452016B98000|1|JP|放課後シンデレラ
010045300F138000|1|JP|D.C.4 ～ダ・カーポ4～
0100454008DA8000|1|US|Stikbold! A Dodgeball Adventure DELUXE
010045600A0D4000|1|US|Quest of Dungeons
010045801053A000|1|JP|ボイド・テラリウム
0100459000302000|1|JP|ドラゴンクエストⅩ オンライン ベータ版
010045B00849C000|1|US|MIGHTY GUNVOLT BURST
010045C013DB4000|1|US|Virtual Battle
010045D014E64000|1|US|Color Your World
0100460017CE8000|1|JP|千の刃濤、桃花染の皇姫
0100462013BBA000|1|JP|Nexoria: Dungeon Rogue Heroes
010046B0116A8000|1|US|Knight Squad
010046C00E260000|1|GB|Pocket Harvest
010047300CB92000|1|US|Desktop Soccer
010047401512E000|1|US|Hashihime of the Old Book Town append
0100474016EB8000|1|JP|刀剣乱舞無双
010047A008760000|1|US|Dark Witch Music Episode: Rudymical
010048100BCD8000|1|US|Hot Springs Story
010048201891A000|1|JP|TRINITY TRIGGER
010048201891A000|1|JP|聖塔神記 トリニティトリガー 特別体験版
010048C00EAD0000|1|US|Grass Cutter - Mutated Lawns
010048F00CC7C000|1|US|Out There: Ω The Alliance
010049301226E000|1|US|Touhou spell bubble
010049301226E000|1|US|Touhou spell bubble
01004930129E8000|1|US|WHAT THE GOLF?
010049600E51C000|1|JP|東京2020オリンピック The Official Video Game™
010049700DE2E000|1|US|Castle of Heart
010049900D3C6000|1|US|Drowning
010049D0133EA000|1|JP|ソロモンプログラム 先ドリ体験版 2.0
010049F013BE2000|1|JP|ジンキ・リザレクション
01004A400E5A4000|1|US|Iris School of Wizardry -Vinculum Hearts-
01004A400FBA8000|1|US|The Casebook of Arkady Smith
01004A800B158000|1|JP|タンブルストーン
01004A8015DD0000|1|GB|60 Seconds! Reatomized
01004AB012D9C000|1|GB|Beastie Bay DX
01004AF00A772000|1|US|PixelJunk™ Monsters 2
01004B10031BE000|1|GB|Puyo Puyo™ Tetris®
01004B101369C000|1|US|Alpaca Ball: Allstars
01004BA013186000|1|JP|ゼルダ無双 厄災の黙示録
01004BD014330000|1|US|SAMURAI WARRIORS 5
01004BE00A682000|1|US|Black Hole
01004C000BF96000|1|US|Mahjong Solitaire Refresh
01004C800D426000|1|US|The Sushi Spinnery
01004E300899E000|1|US|Wanderjahr TryAgainOrWalkAway
01004EC017292000|1|JP|月の彼方で逢いましょう
01004ED012C64000|1|US|Just Dance® 2021
01004F1006CDA000|1|US|Project OCTOPATH TRAVELER Demo Ver.
01004F600AC8E000|1|JP|DARK SOULS® REMASTERED NETWORK TEST VER.
01004F7003726000|1|JP|魔界戦記ディスガイア5
01004FC010C38000|1|US|Lost Lands: Dark Overlord
01004FD0134C4000|1|US|Shadowverse: Champion's Battle
01004FE010B0C000|1|JP|幻想マネージュ
01005000133F0000|1|US|PICROSS S5
010050200D0DA000|1|US|Fitness Boxing
0100506005A2C000|1|JP|LOST SPHEAR
010050700EAD2000|1|US|Desktop Baseball
010050800D424000|1|US|Pocket League Story
